PDGF-B,PDGFB
Rex1,REX1
STAT5,STAT5A
EIF2C2,AGO2
LIN28,LIN28A
AP-2alpha,TFAP2A
AP-2gamma,TFAP2B
Brg1,SMARCA4
Jun,JUN
PPARg,PPARG
Fos,FOS
c-Fos,FOS
JunD,JUND
GATA-2,GATA2
GATA-3,GATA3
GATA-4,GATA4
GATA-5,GATA5
GATA-6,GATA6
NFKB,NFKB1
Pbx3,PBX3
Egr-1,EGR1
PAX5-C20,PAX5
PAX5-N19,PAX5
ERalpha,ESR1
ERbeta,ESR2
ER-alpha,ESR1
ER-beta,ESR2
Nrf1,NRF1
FoxA1,FOXA1
Foxo3a,FOXO3
HNF3B,FOXA2
HNF3A,FOXA1
Myc,MYC
RARalpha,RARA
IFNbeta,IFNB1
IFN-beta,IFNB1
IFNgamma,IFNG
IFN-gamma,IFNG
klf2a,KLF2
BMPR1a,BMPR1A
Ezh2,EZH2
Src,SRC
HoxD10,HOXD10
USF-1,USF1
OCT4,POU5F1
Rad21,RAD21
TFIIIC-110,GTF3C2
TR4,NR2C2
NELFe,NELFE
AML1,RUNX1
BMPR1b,BMPR1B
MyoD,MYOD1
CUTL1,CUX1
GRLF1,ARHGAP35
NKX31,NKX3-1
NKX21,NKX2-1
ZNF193,ZSCAN9
CSDA,YBX3
FBXL10,KDM2B
ACCN1,ASIC2
ACCN2,ASIC1
ACCN3,ASIC3
ACCN4,ASIC4
ABF1,MSC
Foxa2,FOXA2
FoxA2,FOXA2
Ets1,ETS1
Hnf4a,HNF4A
Egr1,EGR1
Gata1,GATA1
Gata2,GATA2
Gata3,GATA3
Gata4,GATA4
HNF4A (HNF4),HNF4A
HNF3,HNF3A
SMG-1,SMG1
SLUG,SNAI2
Myogenin,MYOG
MBP1,EFEMP2
ACCN5,ASIC5
A1CF,A1CF
FAM105B,OTULIN
C18orf34,CCDC178
