Score	AlignLen	totalMFE	seedMFE	totalGC	totalAT	totalGT	totalGaps	totalMismatches	seedGC	seedAT	seedGT	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
142	13	-26.6	-18.6	7	4	1	0	8	3	4	0	0	0	1	1	2	1	2	2	1	2	5	5	5	1	1	3	5	5	5	5	5	1	Target
148	11	-29.5	-19.3	6	4	4	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	1	5	3	5	5	3	3	5	5	Target
157	16	-27.7	-19.3	6	7	2	0	5	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	3	5	2	1	2	2	2	5	5	1	Target
148	17	-23.8	-19.3	4	8	3	1	4	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	5	2	3	4	2	2	2	5	5	Target
152	18	-25.2	-19.3	6	7	2	2	3	4	3	0	0	0	3	2	2	1	1	1	2	1	3	4	4	1	5	1	2	5	2	2	2	5	Target
144	11	-21.5	-19.3	7	3	1	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	1	5	3	5	5	5	1	5	5	Target
140	7	-24.4	-19.3	5	4	1	0	10	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	1	3	5	5	5	5	5	5	5	5	Target
150	13	-23.6	-19.3	7	4	3	0	6	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	2	1	5	5	3	3	5	1	Target
143	18	-23.1	-19.3	5	8	2	2	3	4	3	0	0	0	2	2	2	1	1	1	2	1	5	1	5	4	2	3	2	4	2	2	3	5	Target
145	14	-26.3	-19.3	5	6	3	1	5	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	4	2	1	2	5	3	5	5	5	Target
155	16	-26.7	-19.3	7	5	2	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	1	5	3	1	2	2	5	5	5	Target
155	14	-30.2	-19.3	6	5	3	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	1	1	2	5	2	5	3	5	5	5	Target
148	19	-25.7	-19.3	9	4	3	2	2	4	3	0	0	0	3	2	2	1	1	1	2	1	4	1	1	4	1	1	5	1	5	2	3	3	Target
146	13	-28.6	-19.3	8	4	2	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	1	5	5	5	2	1	5	5	3	5	1	1	Target
141	8	-24.3	-19.3	5	3	5	0	7	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	3	3	5	5	5	5	3	5	1	5	Target
153	18	-22.3	-19.3	7	6	1	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	1	5	5	3	2	2	2	1	5	Target
145	8	-22.3	-19.3	5	4	2	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	1	5	5	5	3	5	5	2	5	3	5	5	Target
142	13	-24.9	-19.3	5	5	1	0	9	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	5	2	1	5	5	5	5	5	5	Target
144	11	-20.5	-19	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	2	1	5	5	5	5	5	3	1	3	Target
149	21	-25.64	-19.3	7	6	0	4	3	4	3	0	0	0	5	2	2	1	1	1	2	1	1	4	4	4	4	1	5	5	2	1	2	2	Target
145	21	-17.6	-18.6	5	6	3	3	3	3	4	0	0	0	5	1	2	1	2	2	1	2	4	4	1	2	3	5	4	3	3	2	5	1	Target
156	17	-22.8	-19.3	6	6	3	1	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	3	1	5	3	2	2	2	3	5	5	Target
147	17	-21.4	-19.3	5	7	1	2	5	4	3	0	0	0	5	2	2	1	1	1	2	1	5	4	4	3	2	5	2	2	2	1	5	5	Target
140	7	-18.4	-19.3	6	3	1	0	10	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	5	3	5	1	5	5	5	1	5	5	Target
144	17	-23.3	-19.3	5	7	2	1	5	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	1	3	5	3	2	4	2	2	5	5	Target
140	7	-22.9	-19.3	4	4	1	0	11	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	5	5	3	5	5	5	5	5	5	5	Target
149	20	-20.64	-18.6	6	7	1	2	4	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	2	3	1	5	4	2	1	1	2	5	Target
147	17	-25.3	-19.3	4	8	3	2	3	4	3	0	0	0	2	2	2	1	1	1	2	1	3	4	4	3	2	5	2	2	2	3	5	5	Target
145	16	-25.5	-19.3	4	6	4	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	3	5	5	2	2	3	5	5	5	Target
141	10	-19.6	-19.3	7	4	1	1	7	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	1	5	5	3	5	5	2	5	1	5	Target
144	19	-19.4	-19.3	7	6	1	2	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	3	5	2	1	5	4	2	2	1	Target
142	17	-19.7	-19.3	6	5	3	2	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	1	5	4	3	3	2	2	3	5	5	Target
154	17	-22.3	-19.3	5	6	3	0	6	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	5	3	2	2	2	3	5	5	Target
160	18	-26.7	-19.3	7	8	1	2	2	4	3	0	0	0	2	2	2	1	1	1	2	1	4	4	1	1	5	3	2	1	2	2	2	5	Target
150	18	-26.7	-19.3	8	6	1	3	2	4	3	0	0	0	3	2	2	1	1	1	2	1	4	1	5	1	1	2	4	4	2	2	1	5	Target
157	16	-25.2	-19	4	9	2	0	5	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	3	2	2	1	5	2	5	3	5	Target
148	17	-22.1	-19.3	5	7	3	1	4	4	3	0	0	0	2	2	2	1	1	1	2	1	4	1	5	3	3	2	5	2	2	3	5	5	Target
150	13	-28.1	-19.3	8	5	1	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	1	2	1	5	5	5	1	5	1	Target
145	21	-24.7	-19.3	8	4	0	4	4	4	3	0	0	0	5	2	2	1	1	1	2	1	4	4	4	4	1	5	1	1	2	1	5	5	Target
144	11	-27.4	-19.3	6	4	4	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	3	5	5	5	5	3	3	5	1	Target
143	19	-20.9	-19.3	8	5	1	3	3	4	3	0	0	0	5	2	2	1	1	1	2	1	5	1	4	4	1	1	3	4	2	5	2	1	Target
159	20	-23.4	-18.6	7	6	2	1	4	3	4	0	0	0	5	1	2	1	2	2	1	2	4	1	2	1	5	3	1	5	1	5	3	2	Target
150	20	-27.2	-18.6	7	6	2	2	3	3	4	0	0	0	1	1	2	1	2	2	1	2	1	5	3	5	4	4	1	3	2	5	1	2	Target
145	8	-19.3	-18.6	4	6	3	0	7	3	4	0	0	0	5	1	2	1	2	2	1	2	1	5	3	5	3	5	5	5	5	2	2	3	Target
141	10	-28.1	-19.3	6	4	1	1	8	4	3	0	0	0	2	2	2	1	1	1	2	1	4	1	1	5	5	5	5	5	5	5	3	5	Target
