Score	AlignLen	totalMFE	seedMFE	totalGC	totalAT	totalGT	totalGaps	totalMismatches	seedGC	seedAT	seedGT	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
152.000000	22	-26.60	-19.90	7	5	3	2	3	4	3	0	0	0	3	1	2	2	2	1	1	1	4	4	1	2	1	2	5	1	5	5	3	3	Non-Target
150.000000	17	-21.90	-19.90	7	6	1	0	6	4	2	1	0	0	5	1	2	3	2	1	1	1	5	2	1	5	2	1	2	2	5	1	5	5	Non-Target
153.000000	18	-22.30	-19.30	7	6	1	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	1	5	5	3	2	2	2	1	5	Non-Target
145.000000	8	-22.30	-19.30	5	4	2	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	1	5	5	5	3	5	5	2	5	3	5	5	Non-Target
142.000000	13	-24.90	-19.30	5	5	1	0	9	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	5	2	1	5	5	5	5	5	5	Non-Target
152.000000	17	-25.60	-19.30	5	7	4	1	3	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	1	3	3	2	4	2	2	5	5	Non-Target
150.000000	13	-22.90	-19.30	6	5	2	0	7	4	3	0	0	0	5	2	2	1	1	1	2	1	1	5	3	5	2	1	5	5	2	3	5	5	Non-Target
142.000000	16	-27.20	-15.80	7	5	4	0	4	4	2	0	0	1	3	5	2	1	1	1	2	1	3	5	1	3	5	1	2	2	2	3	1	5	Non-Target
140.000000	18	-14.70	-12.10	3	10	1	2	4	0	6	1	0	0	5	2	2	2	2	2	3	2	4	4	2	2	2	1	1	5	2	5	1	5	Non-Target
150.000000	19	-27.70	-17.60	8	6	2	1	3	3	3	1	0	0	5	1	3	2	1	2	2	1	4	1	2	5	1	2	5	1	2	1	3	1	Non-Target
155.000000	23	-35.20	-22.10	7	5	2	4	2	5	2	0	0	0	2	1	1	2	1	1	2	1	3	5	1	3	4	4	4	4	1	2	2	5	Non-Target
148.000000	19	-25.00	-22.10	8	5	1	0	6	5	2	0	0	0	2	1	1	2	1	1	2	1	5	5	1	5	3	2	5	2	5	5	1	1	Non-Target
147.000000	25	-30.20	-20.00	5	7	2	4	2	4	2	1	0	0	5	3	1	2	1	1	2	1	2	3	4	4	4	1	2	5	2	2	2	4	Non-Target
143.000000	18	-26.60	-16.00	7	6	2	0	5	2	4	1	0	0	1	1	2	2	2	3	2	1	2	5	1	5	5	2	1	1	5	1	3	5	Non-Target
153.000000	12	-29.10	-17.90	5	5	1	0	9	3	4	0	0	0	5	2	2	1	2	1	2	1	2	1	5	3	1	5	5	5	5	5	5	5	Non-Target
142.000000	18	-27.80	-14.20	7	7	2	1	3	3	3	0	0	1	1	5	2	1	2	2	1	1	2	3	2	5	1	5	4	3	1	2	2	1	Non-Target
166.000000	21	-28.30	-17.90	5	9	2	2	2	3	4	0	0	0	5	2	2	1	2	1	2	1	2	1	4	3	3	5	2	2	2	2	4	1	Non-Target
151.000000	14	-19.70	-19.00	5	7	0	0	8	3	4	0	0	0	5	2	1	1	2	1	2	2	5	2	5	5	1	2	1	5	5	5	2	5	Non-Target
140.000000	22	-26.40	-19.00	6	6	1	2	5	3	3	1	0	0	5	2	1	1	2	1	2	3	2	2	4	4	1	1	1	5	5	5	5	2	Non-Target
143.000000	21	-30.80	-15.70	3	9	4	2	2	2	4	1	0	0	2	2	2	2	2	1	1	3	5	4	4	2	3	1	3	2	5	2	3	2	Non-Target
142.000000	17	-20.70	-16.20	2	8	3	0	7	2	5	0	0	0	3	2	2	2	2	1	1	2	5	5	3	5	5	2	3	2	5	2	5	5	Non-Target
152.000000	19	-23.50	-19.50	7	6	0	0	7	4	3	0	0	0	5	2	1	1	2	1	1	2	1	5	5	2	5	2	1	5	5	5	2	1	Non-Target
143.000000	22	-22.39	-19.50	5	5	3	3	4	4	3	0	0	0	5	2	1	1	2	1	1	2	5	2	4	4	4	2	5	5	3	1	3	3	Non-Target
140.000000	19	-21.90	-17.40	6	8	1	2	3	3	3	1	0	0	5	2	1	1	2	3	1	2	1	2	4	2	5	2	1	4	2	2	5	1	Non-Target
152.000000	18	-16.60	-14.50	4	8	3	2	3	1	6	0	0	0	5	1	2	2	2	2	2	2	2	4	4	1	3	3	2	3	1	5	1	5	Non-Target
145.000000	16	-16.00	-14.50	3	8	2	0	7	1	6	0	0	0	5	1	2	2	2	2	2	2	5	5	5	3	5	3	1	2	1	5	5	2	Non-Target
144.000000	20	-21.70	-14.50	5	9	1	3	2	1	6	0	0	0	1	1	2	2	2	2	2	2	4	4	2	1	2	4	1	5	5	3	1	2	Non-Target
175.000000	21	-28.00	-19.50	5	11	0	2	2	4	3	0	0	0	5	2	1	1	2	1	1	2	1	5	2	2	4	4	2	2	2	2	2	2	Non-Target
150.000000	17	-18.00	-16.80	3	7	5	0	5	2	5	0	0	0	5	1	2	1	2	2	2	2	5	2	5	5	3	3	3	1	2	3	5	3	Non-Target
143.000000	14	-17.40	-16.80	3	7	2	0	8	2	5	0	0	0	5	1	2	1	2	2	2	2	5	5	1	5	3	2	3	5	5	5	5	2	Non-Target
143.000000	12	-14.30	-16.80	2	8	1	1	8	2	5	0	0	0	5	1	2	1	2	2	2	2	4	2	2	5	2	5	5	5	5	5	3	5	Non-Target
140.000000	19	-26.70	-10.60	6	9	1	0	4	1	5	0	0	1	1	1	2	5	2	2	2	2	2	2	1	5	1	3	5	1	2	1	5	2	Non-Target
143.000000	20	-21.10	-17.70	4	8	3	4	1	3	4	0	0	0	3	1	2	1	1	2	2	2	4	4	4	2	1	3	4	2	3	5	2	2	Non-Target
150.000000	20	-20.10	-17.70	5	9	0	2	4	3	4	0	0	0	2	1	2	1	1	2	2	2	4	4	2	5	1	5	2	1	5	2	5	2	Non-Target
140.000000	19	-20.80	-15.60	6	10	0	2	2	2	4	0	0	1	5	1	2	2	2	2	1	5	2	1	4	1	2	2	4	2	1	1	2	2	Non-Target
140.000000	19	-20.70	-15.60	6	10	0	2	2	2	4	0	0	1	5	1	2	2	2	2	1	5	2	1	4	1	2	2	4	2	1	1	2	2	Non-Target
171.000000	16	-29.80	-17.90	6	10	0	1	3	3	4	0	0	0	5	2	2	1	2	1	2	1	2	4	1	2	1	1	2	2	2	5	5	2	Non-Target
170.000000	13	-35.00	-17.90	6	8	0	0	6	3	4	0	0	0	2	2	2	1	2	1	2	1	2	1	2	1	1	2	5	5	5	5	5	5	Non-Target
170.000000	21	-32.10	-17.90	7	8	1	2	2	3	4	0	0	0	5	2	2	1	2	1	2	1	2	4	1	2	1	1	2	5	2	4	1	3	Non-Target
