Score	AlignLen	totalMFE	seedMFE	totalGC	totalAU	totalGU	totalGaps	totalMismatches	seedGC	seedAT	seedGU	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
154.000000	17	11.70	-2.00	6	7	2	2	3	4	3	0	0	0	5	1	2	1	1	2	2	1	4	2	4	2	3	1	3	2	1	2	5	5	Target
153.000000	18	8.00	-2.00	5	9	1	1	4	4	3	0	0	0	2	1	2	1	1	2	2	1	4	2	2	1	3	5	5	5	2	2	2	5	Target
143.000000	23	8.10	-2.00	5	7	3	4	1	4	3	0	0	0	2	1	2	1	1	2	2	1	4	4	4	4	2	2	3	1	3	5	3	2	Target
152.000000	17	7.80	-2.00	6	7	2	1	4	4	3	0	0	0	2	1	2	1	1	2	2	1	5	4	1	3	5	2	1	2	3	2	5	5	Target
148.000000	19	11.14	-2.00	6	6	3	3	2	4	3	0	0	0	5	1	2	1	1	2	2	1	4	4	4	2	2	3	1	5	3	3	2	1	Target
148.000000	19	12.80	-2.00	5	6	4	0	5	4	3	0	0	0	3	1	2	1	1	2	2	1	2	5	5	5	2	5	1	5	3	2	3	3	Target
140.000000	7	6.90	 1.20	6	3	3	0	8	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	3	5	5	5	1	1	5	5	3	5	Target
148.000000	19	8.00	 1.20	4	6	7	0	3	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	3	5	5	3	3	3	2	3	3	3	Target
158.000000	19	2.70	 1.20	4	10	2	1	3	4	3	0	0	0	3	2	1	1	2	1	1	2	5	2	2	4	2	2	2	5	5	3	2	2	Target
153.000000	22	5.30	 1.20	7	6	1	4	2	4	3	0	0	0	3	2	1	1	2	1	1	2	4	4	1	2	5	5	2	2	1	1	4	4	Target
156.000000	17	5.90	 1.20	6	7	3	1	3	4	3	0	0	0	3	2	1	1	2	1	1	2	1	2	2	5	5	4	2	1	3	2	5	3	Target
147.000000	16	8.80	 1.20	6	5	4	1	4	4	3	0	0	0	3	2	1	1	2	1	1	2	1	4	2	3	5	5	2	1	3	5	3	5	Target
140.000000	13	3.50	-1.00	3	8	2	1	6	3	3	1	0	0	3	2	3	1	2	1	1	2	4	2	2	2	2	2	5	5	5	5	5	5	Target
141.000000	18	8.40	-3.40	4	9	3	1	3	3	3	1	0	0	2	2	1	1	2	3	1	2	4	2	3	5	5	2	1	3	2	2	2	5	Target
160.000000	19	7.40	 1.20	6	9	0	0	5	4	3	0	0	0	2	2	1	1	2	1	1	2	1	2	5	5	2	2	5	1	5	5	2	2	Target
154.000000	17	11.70	-2.00	6	7	2	2	3	4	3	0	0	0	5	1	2	1	1	2	2	1	4	2	4	2	3	1	3	2	1	2	5	5	Target
153.000000	18	8.50	-2.00	5	9	1	1	4	4	3	0	0	0	2	1	2	1	1	2	2	1	4	2	2	1	3	5	5	5	2	2	2	5	Target
143.000000	23	10.10	-2.00	5	7	3	4	1	4	3	0	0	0	2	1	2	1	1	2	2	1	4	4	4	4	2	2	3	1	3	5	3	2	Target
155.000000	16	7.70	 1.20	5	9	1	1	4	4	3	0	0	0	2	2	1	1	2	1	1	2	5	1	5	2	2	2	4	2	2	5	5	3	Target
146.000000	13	9.10	 1.20	5	6	1	0	8	4	3	0	0	0	5	2	1	1	2	1	1	2	5	1	5	5	2	2	5	5	3	2	5	5	Target
171.000000	20	9.70	 1.20	5	10	1	1	3	4	3	0	0	0	5	2	1	1	2	1	1	2	4	1	5	2	2	2	2	2	2	2	5	3	Target
152.000000	19	6.50	 1.20	7	8	0	3	2	4	3	0	0	0	2	2	1	1	2	1	1	2	1	4	4	4	2	5	5	2	2	2	1	1	Target
144.000000	19	6.00	-3.40	5	7	3	0	5	3	3	1	0	0	5	2	1	1	2	3	1	2	1	5	2	5	5	2	2	2	3	5	1	3	Target
143.000000	18	6.30	 1.20	4	6	4	0	6	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	5	2	5	5	2	5	2	3	3	5	Target
142.000000	9	8.50	 1.20	7	3	3	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	1	5	5	5	5	3	5	3	5	1	1	Target
165.000000	18	8.10	 1.20	6	9	1	1	3	4	3	0	0	0	3	2	1	1	2	1	1	2	4	1	2	2	5	2	5	2	2	2	1	5	Target
