Score	AlignLen	totalMFE	seedMFE	totalGC	totalAU	totalGU	totalGaps	totalMismatches	seedGC	seedAU	seedGU	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
152.000000	11	10.70	-2.00	7	5	2	0	6	4	3	0	0	0	5	1	2	1	1	2	2	1	3	2	3	1	5	5	1	5	5	5	2	1	Target
166.000000	20	5.00	-2.00	6	9	2	2	1	4	3	0	0	0	2	1	2	1	1	2	2	1	2	4	4	2	5	2	2	3	1	3	2	1	Target
164.000000	19	4.50	-2.00	7	7	3	0	3	4	3	0	0	0	2	1	2	1	1	2	2	1	2	5	3	3	2	5	1	3	2	1	5	1	Target
155.000000	16	4.30	-2.00	4	9	4	1	2	4	3	0	0	0	2	1	2	1	1	2	2	1	2	4	2	3	2	3	3	3	2	5	5	2	Target
142.000000	11	4.30	-2.00	4	6	3	1	6	4	3	0	0	0	5	1	2	1	1	2	2	1	4	2	2	3	5	5	3	3	5	2	5	5	Target
157.000000	16	8.70	 1.30	3	10	2	0	5	2	5	0	0	0	2	2	1	1	2	2	2	2	5	2	1	2	5	2	3	5	2	5	3	5	Target
157.000000	16	8.70	 1.30	3	10	2	0	5	2	5	0	0	0	2	2	1	1	2	2	2	2	5	2	1	2	5	2	3	5	2	5	3	5	Target
157.000000	16	8.70	 1.30	3	10	2	0	5	2	5	0	0	0	2	2	1	1	2	2	2	2	5	2	1	2	5	2	3	5	2	5	3	5	Target
157.000000	16	8.70	 1.30	3	10	2	0	5	2	5	0	0	0	2	2	1	1	2	2	2	2	5	2	1	2	5	2	3	5	2	5	3	5	Target
168.000000	19	7.90	 1.30	4	10	4	0	2	2	5	0	0	0	2	2	1	1	2	2	2	2	1	5	3	2	1	3	3	2	3	5	2	2	Target
146.000000	17	11.00	-6.20	9	5	1	2	3	4	3	0	0	0	1	2	1	2	1	1	1	2	4	2	1	4	1	2	5	5	1	1	5	3	Target
142.000000	9	7.10	-1.50	5	6	1	0	8	5	2	0	0	0	2	1	2	1	1	2	1	1	5	2	5	5	3	5	5	2	5	5	5	2	Target
148.000000	15	11.50	-2.50	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	3	5	5	5	3	1	1	2	5	5	5	5	Target
140.000000	7	7.20	-2.50	4	4	4	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	5	5	1	5	5	3	3	3	5	Target
148.000000	15	11.50	-2.50	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	3	5	5	5	3	1	1	2	5	5	5	5	Target
140.000000	7	7.20	-2.50	4	4	4	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	5	5	1	5	5	3	3	3	5	Target
148.000000	15	11.50	-2.50	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	3	5	5	5	3	1	1	2	5	5	5	5	Target
140.000000	7	7.20	-2.50	4	4	4	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	5	5	1	5	5	3	3	3	5	Target
144.000000	21	8.30	-2.50	7	4	3	1	5	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	1	5	1	4	1	3	5	3	1	Target
146.000000	11	7.30	-2.50	4	6	1	1	8	3	4	0	0	0	5	1	1	2	2	1	2	2	2	4	2	1	5	3	5	5	5	5	5	5	Target
145.000000	19	10.90	-2.50	5	9	0	0	6	2	4	0	0	1	2	5	1	2	2	1	2	2	2	5	2	1	2	5	1	5	5	5	1	2	Target
141.000000	20	7.20	-2.50	4	4	6	0	6	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	5	5	5	1	3	3	3	3	3	Target
154.000000	20	10.10	-2.50	6	6	3	2	3	3	4	0	0	0	5	1	1	2	2	1	2	2	1	3	3	4	4	1	1	2	5	5	2	3	Target
146.000000	19	6.30	-2.20	6	7	5	1	1	3	3	1	0	0	2	1	1	3	2	1	2	2	5	3	3	1	1	2	2	4	1	2	3	3	Target
140.000000	7	5.80	-2.50	3	4	5	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	3	3	5	5	5	5	5	3	3	3	Target
154.000000	20	10.10	-2.50	6	6	3	2	3	3	4	0	0	0	5	1	1	2	2	1	2	2	1	3	3	4	4	1	1	2	5	5	2	3	Target
146.000000	19	6.30	-2.20	6	7	5	1	1	3	3	1	0	0	2	1	1	3	2	1	2	2	5	3	3	1	1	2	2	4	1	2	3	3	Target
140.000000	7	5.80	-2.50	3	4	5	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	3	3	5	5	5	5	5	3	3	3	Target
154.000000	20	10.10	-2.50	6	6	3	2	3	3	4	0	0	0	5	1	1	2	2	1	2	2	1	3	3	4	4	1	1	2	5	5	2	3	Target
146.000000	19	6.30	-2.20	6	7	5	1	1	3	3	1	0	0	2	1	1	3	2	1	2	2	5	3	3	1	1	2	2	4	1	2	3	3	Target
140.000000	7	5.80	-2.50	3	4	5	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	3	3	5	5	5	5	5	3	3	3	Target
154.000000	20	10.10	-2.50	6	6	3	2	3	3	4	0	0	0	5	1	1	2	2	1	2	2	1	3	3	4	4	1	1	2	5	5	2	3	Target
146.000000	19	6.30	-2.20	6	7	5	1	1	3	3	1	0	0	2	1	1	3	2	1	2	2	5	3	3	1	1	2	2	4	1	2	3	3	Target
140.000000	7	5.80	-2.50	3	4	5	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	3	3	5	5	5	5	5	3	3	3	Target
142.000000	19	10.20	-2.50	6	5	3	1	5	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	3	4	1	5	2	5	1	3	3	1	Target
149.000000	16	6.00	-2.50	3	8	2	0	7	3	4	0	0	0	5	1	1	2	2	1	2	2	5	2	5	3	5	2	2	5	2	5	3	5	Target
144.000000	15	5.80	-2.50	5	5	3	0	7	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	1	3	5	2	5	1	5	3	3	5	Target
163.000000	19	3.80	 1.30	6	11	0	3	0	3	4	0	0	0	2	1	2	1	2	1	2	2	2	4	4	1	2	1	2	2	2	4	2	1	Target
153.000000	18	6.10	-2.50	6	8	1	1	4	3	4	0	0	0	5	2	2	1	2	1	2	1	2	5	5	2	1	4	3	2	1	5	1	2	Target
145.000000	8	5.50	-2.50	4	7	0	0	9	3	4	0	0	0	1	2	2	1	2	1	2	1	2	5	5	2	5	5	2	5	5	5	5	5	Target
142.000000	17	8.80	-5.80	5	7	1	0	7	2	4	1	0	0	5	2	1	2	1	2	3	2	5	1	1	5	1	5	5	2	2	2	5	5	Target
163.000000	18	9.40	-4.80	9	6	1	3	1	5	2	0	0	0	3	1	1	1	2	1	2	1	4	4	4	2	2	1	2	1	1	2	1	5	Target
145.000000	14	9.80	-4.80	8	3	0	1	8	5	2	0	0	0	5	1	1	1	2	1	2	1	5	5	1	4	1	1	2	5	5	5	5	5	Target
144.000000	19	8.60	-3.90	9	4	2	0	5	5	1	1	0	0	3	1	1	1	3	1	2	1	2	5	1	2	1	5	5	5	1	5	2	1	Target
142.000000	19	5.90	-0.10	9	6	2	1	2	4	2	0	0	1	3	1	1	1	2	5	2	1	3	2	1	5	4	1	1	2	1	1	2	2	Target
157.000000	19	12.50	-4.80	9	5	1	2	3	5	2	0	0	0	5	1	1	1	2	1	2	1	5	2	4	4	1	1	2	3	1	5	2	1	Target
146.000000	13	6.80	-4.80	9	2	1	0	8	5	2	0	0	0	3	1	1	1	2	1	2	1	5	5	1	5	1	1	5	5	1	5	5	5	Target
143.000000	21	5.50	-4.80	8	5	0	4	3	5	2	0	0	0	5	1	1	1	2	1	2	1	5	4	2	5	2	4	4	1	1	2	1	4	Target
142.000000	21	4.80	-3.90	10	3	1	2	4	5	1	1	0	0	5	1	1	1	3	1	2	1	5	2	1	5	1	1	4	2	4	1	1	5	Target
140.000000	17	5.70	-4.80	7	5	2	1	5	4	2	1	0	0	5	3	1	1	2	1	2	1	5	4	1	2	1	5	2	1	3	2	5	5	Target
140.000000	7	6.10	-4.80	6	2	2	0	10	5	2	0	0	0	3	1	1	1	2	1	2	1	5	3	5	5	5	5	5	5	5	5	5	1	Target
144.000000	15	11.50	-3.90	8	5	2	0	5	5	1	1	0	0	2	1	1	1	3	1	2	1	3	2	1	5	5	1	2	1	5	5	2	5	Target
147.000000	10	-2.00	 1.30	3	8	3	0	6	2	5	0	0	0	2	2	1	2	2	1	2	2	5	2	1	5	5	5	3	5	2	5	3	3	Target
157.000000	16	6.10	-0.50	4	9	2	0	5	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	3	2	2	1	5	2	5	3	5	Target
156.000000	18	5.40	 1.30	5	9	0	2	4	2	5	0	0	0	5	2	1	2	2	1	2	2	4	4	2	2	1	5	2	1	1	5	2	5	Target
154.000000	15	2.80	 1.30	4	9	2	1	4	2	5	0	0	0	2	2	1	2	2	1	2	2	4	2	2	5	1	2	3	1	5	3	5	5	Target
145.000000	16	10.40	 1.20	3	8	5	0	4	1	5	1	0	0	3	2	1	2	2	3	2	2	5	2	1	1	5	3	3	2	2	5	5	3	Target
145.000000	18	5.80	 1.30	4	10	2	1	3	2	4	1	0	0	2	2	1	2	2	1	3	2	5	2	1	1	2	5	4	2	2	2	3	5	Target
145.000000	16	3.90	-3.00	4	6	2	0	8	3	4	0	0	0	5	2	1	2	1	2	1	2	3	5	5	5	5	2	1	3	2	5	5	5	Target
141.000000	15	6.29	-3.00	5	7	0	2	6	3	4	0	0	0	2	2	1	2	1	2	1	2	4	4	1	5	5	2	1	2	5	5	5	5	Target
146.000000	17	7.90	-3.00	6	5	3	0	6	3	4	0	0	0	5	2	1	2	1	2	1	2	3	5	1	3	5	5	5	3	2	1	5	1	Target
141.000000	18	8.50	-3.00	5	8	3	1	3	3	3	1	0	0	2	2	1	2	1	2	1	3	3	3	1	4	2	2	2	5	2	5	1	5	Target
156.000000	11	4.81	-3.00	5	6	2	0	7	3	4	0	0	0	3	2	1	2	1	2	1	2	3	1	1	2	5	5	5	2	5	5	5	5	Target
156.000000	11	8.60	-3.00	6	4	3	0	7	3	4	0	0	0	5	2	1	2	1	2	1	2	1	1	1	3	5	5	5	5	3	5	5	3	Target
152.000000	11	6.20	-3.00	5	5	3	0	7	3	4	0	0	0	3	2	1	2	1	2	1	2	1	1	5	2	5	5	5	5	3	5	5	3	Target
148.000000	18	5.30	-3.00	5	8	1	2	4	3	4	0	0	0	5	2	1	2	1	2	1	2	5	1	1	4	4	2	5	2	2	5	2	3	Target
148.000000	19	7.44	-3.00	7	6	2	2	3	3	4	0	0	0	5	2	1	2	1	2	1	2	4	1	1	4	1	3	5	2	5	2	3	1	Target
148.000000	18	9.60	-3.00	6	6	5	2	1	3	4	0	0	0	3	2	1	2	1	2	1	2	1	4	4	3	2	5	3	3	3	1	2	1	Target
142.000000	18	8.00	-2.30	5	8	2	1	4	3	3	0	0	1	5	5	1	2	1	2	1	2	5	3	5	3	2	2	4	1	2	2	1	2	Target
140.000000	7	11.80	-3.00	3	4	2	0	11	3	4	0	0	0	3	2	1	2	1	2	1	2	5	5	5	5	5	5	5	5	5	5	5	3	Target
142.000000	22	3.00	-3.00	7	8	0	4	1	3	3	0	0	1	2	2	1	2	1	2	1	5	4	4	4	4	1	1	1	2	2	2	1	2	Target
141.000000	11	8.80	-2.30	7	5	3	0	5	3	3	0	0	1	2	5	1	2	1	2	1	2	1	1	1	3	2	5	5	5	3	1	5	3	Target
170.000000	19	4.90	-3.70	8	8	0	1	3	4	3	0	0	0	5	2	1	1	2	1	1	2	2	5	4	2	1	2	2	5	2	1	1	1	Target
141.000000	19	6.30	-3.70	7	5	2	2	4	4	3	0	0	0	3	2	1	1	2	1	1	2	5	4	4	1	2	5	5	3	1	5	1	2	Target
